job_key,era,row_kind,pool_draw,wage_yield,value_add,tax_rate
*,prehistoric,base,0.3000,0.2000,0.1800,0.0350
*,bronze_age,base,0.2700,0.2400,0.2200,0.0480
*,iron_age,base,0.2500,0.2700,0.2500,0.0580
*,medieval,base,0.2300,0.2900,0.2700,0.0680
*,modern,base,0.2100,0.3100,0.2900,0.0780
*,*,base,0.2100,0.3100,0.2900,0.0780
accountant,bronze_age,deviation,0.8800,1.3800,1.3200,1.1500
alchemist-priest,bronze_age,deviation,0.8096,3.7950,3.8280,1.3570
architect,bronze_age,deviation,0.9200,2.7500,2.9000,1.1800
astronomer-priest,bronze_age,deviation,0.9200,2.7500,2.9000,1.1800
blunt scribe,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
brick carrier,bronze_age,deviation,1.1000,0.5500,0.5800,0.9200
caravan master,bronze_age,deviation,0.7800,4.1000,4.0000,1.3800
chariot daredevil,bronze_age,deviation,0.8800,1.3800,1.3200,1.1500
clan diplomat,bronze_age,deviation,0.7800,4.1000,4.0000,1.3800
court astrologer,bronze_age,deviation,0.8800,1.3800,1.3200,1.1500
cult founder,bronze_age,deviation,0.8800,1.3800,1.3200,1.1500
dock hand,bronze_age,deviation,1.1000,0.5500,0.5800,0.9200
dock laborer,bronze_age,deviation,1.1000,0.5500,0.5800,0.9200
dock porter,bronze_age,deviation,1.1000,0.5500,0.5800,0.9200
ecstatic priest,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
engineer,bronze_age,deviation,0.9200,2.7500,2.9000,1.1800
estate steward,bronze_age,deviation,0.7800,4.1000,4.0000,1.3800
fertility cult figure,bronze_age,deviation,0.8800,1.3800,1.3200,1.1500
festival helper,bronze_age,deviation,1.1000,0.5500,0.5800,0.9200
field hand,bronze_age,deviation,1.1000,0.5500,0.5800,0.9200
field laborer,bronze_age,deviation,1.1000,0.5500,0.5800,0.9200
gambler,bronze_age,deviation,1.0800,0.3800,0.4000,0.8200
grain porter,bronze_age,deviation,1.1000,0.5500,0.5800,0.9200
granary helper,bronze_age,deviation,1.1000,0.5500,0.5800,0.9200
hermit priest,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
inventor,bronze_age,deviation,0.9200,2.7500,2.9000,1.1800
judge,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
judge advocate,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
kiln assistant,bronze_age,deviation,1.1000,0.5500,0.5800,0.9200
lament priestess/priest,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
law scribe,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
leader,bronze_age,deviation,0.8800,1.3800,1.3200,1.1500
light potter,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
market stall helper,bronze_age,deviation,1.1000,0.5500,0.5800,0.9200
marriage broker,bronze_age,deviation,0.7800,4.1000,4.0000,1.3800
mason,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
master chariot mechanic,bronze_age,deviation,0.7216,4.9680,4.4880,1.4030
menial laborer,bronze_age,deviation,1.1000,0.5500,0.5800,0.9200
midwife,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
midwife assistant,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
mud-brick laborer,bronze_age,deviation,1.1000,0.5500,0.5800,0.9200
officer,bronze_age,deviation,0.7800,4.1000,4.0000,1.3800
oracle,bronze_age,deviation,0.8800,1.3800,1.3200,1.1500
oracle attendant,bronze_age,deviation,0.8800,1.3800,1.3200,1.1500
palace intriguer,bronze_age,deviation,0.8800,1.3800,1.3200,1.1500
physician,bronze_age,deviation,0.9200,2.7500,2.9000,1.1800
porter,bronze_age,deviation,1.1000,0.5500,0.5800,0.9200
potter,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
priest,bronze_age,deviation,0.8624,2.5530,2.5740,1.2420
reform priest,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
rigid teacher,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
ritual scribe,bronze_age,deviation,0.9800,1.8500,1.9500,1.0800
royal workshop specialist,bronze_age,deviation,0.6336,7.1760,6.6000,1.7825
scribe,bronze_age,deviation,0.8624,2.5530,2.5740,1.2420
